Parametro_ID,Peso_Inicial,Peso_Final
Param_0,0.361246,0.7249196
Param_1,0.2093749,0.122788176
Param_2,-0.3807878,-0.16797678
Param_3,-0.26368305,-0.24280666
Param_4,-0.092942744,-0.05245769
Param_5,-0.03242293,0.04601317
Param_6,-0.25826514,-1.0091552
Param_7,0.12319517,-0.3350268
Param_8,-0.2079163,0.17447186
Param_9,0.15843272,-0.17142709
Param_10,-0.059716344,0.11164159
Param_11,0.10871288,0.0877666
Param_12,-0.15848275,-0.04404299
Param_13,0.14758128,0.5788926
Param_14,0.34464008,0.117682844
Param_15,-0.102776766,-0.4623515
Param_16,-0.36769763,-0.34741873
Param_17,-0.23768644,-0.36888266
Param_18,0.06931123,0.045551073
Param_19,-0.19578286,-0.2649184
Param_20,0.090934366,-0.056676377
Param_21,-0.07849085,-0.09514312
Param_22,-0.34590262,-0.2776783
Param_23,-0.019237846,0.3238204
Param_24,0.27008307,-0.3714017
Param_25,0.29126614,0.756025
Param_26,-0.3474424,-0.41286623
Param_27,0.18840957,-0.12403679
Param_28,0.08451006,0.21022812
Param_29,0.36241794,0.40163705
Param_30,0.065436125,0.28517872
Param_31,-0.08841756,1.0742973
Param_32,-0.080026984,-0.69573385
Param_33,-0.27256358,-0.5346294
Param_34,0.17964476,0.18225649
Param_35,0.06295395,-0.020042012
Param_36,0.37936985,-0.15928578
Param_37,0.30887425,0.2898347
Param_38,0.039346993,-0.3265001
Param_39,0.061686963,0.5329388
Param_40,-0.050522417,0.22410549
Param_41,0.37418026,0.9849839
Param_42,-0.05573073,0.24934515
Param_43,0.09699422,0.595644
Param_44,-0.27591825,-0.33566108
Param_45,0.12516958,0.9227296
Param_46,-0.010345042,-0.035544563
Param_47,-0.3217311,-0.16069381
Param_48,-0.05969429,-0.6387099
Param_49,-0.30368,-0.43108052
Param_50,0.3782037,-0.051623393
Param_51,0.008592606,0.24426123
Param_52,-0.3352418,-0.18316144
Param_53,0.03995043,-0.05520334
Param_54,-0.38120416,-0.009482272
Param_55,0.074866146,0.4826692
Param_56,-0.1643641,-0.52323693
Param_57,-0.21184044,0.08353542
Param_58,0.24495077,-0.3930259
Param_59,0.31970817,0.5351188
Param_60,-0.13123909,-0.08774907
Param_61,0.33967155,-0.21928029
Param_62,-0.24130133,0.113706924
Param_63,0.32897842,0.9958652
Param_64,0.11657429,0.50440294
Param_65,-0.37655348,-1.1049136
Param_66,0.3667419,0.001212172
Param_67,-0.09190872,-0.089057855
Param_68,0.18226868,-0.068393864
Param_69,-0.123574406,-0.08601096
Param_70,-0.11884847,-0.45509028
Param_71,0.32813537,0.20546009
Param_72,0.16426003,-0.7676224
Param_73,0.25838774,-0.13921957
Param_74,0.29975152,-0.65671
Param_75,-0.027259529,-0.83867466
Param_76,-0.3331495,0.18449564
Param_77,0.09095183,-0.15076807
Param_78,0.009433836,0.18928309
Param_79,-0.07423428,0.45908293
Param_80,0.26016557,-0.05815512
Param_81,-0.2565035,-0.80623215
Param_82,-0.0023063421,0.23066485
Param_83,0.17954695,-0.48617056
Param_84,0.35448885,-0.08724789
Param_85,-0.27815822,0.08942741
Param_86,0.3243817,-0.355811
Param_87,-0.07564995,-0.2537027
Param_88,0.36209917,0.4939164
Param_89,0.321423,0.005994191
Param_90,0.23986161,-0.39337036
Param_91,0.056250393,-0.84002113
Param_92,-0.3493007,-0.60907114
Param_93,0.122133076,-0.29509297
Param_94,0.10503149,-0.7594901
Param_95,0.021131903,0.47618502
Param_96,0.016332954,0.7658335
Param_97,0.21986967,-0.45234552
Param_98,-0.007860929,0.43336064
Param_99,0.18016398,-0.09489385
Param_100,-0.35637775,-0.16184953
Param_101,0.2643348,0.34640867
Param_102,-0.25796163,-0.22058089
Param_103,0.24471402,-0.47961092
Param_104,0.031570375,0.12153637
Param_105,-0.20950934,-0.3018305
Param_106,-0.34177563,-0.53774506
Param_107,-0.15176867,0.03860641
Param_108,0.12479925,-0.6813717
Param_109,0.06772676,0.20919299
Param_110,-0.37007323,-0.6216957
Param_111,-0.054968268,0.47927418
Param_112,-0.29836607,-0.3241381
Param_113,-0.3208176,-0.15731542
Param_114,-0.06723979,0.1922008
Param_115,-0.16022989,-0.45311713
Param_116,-0.08586946,-0.15769628
Param_117,-0.027430892,0.43649787
Param_118,0.10849634,0.3568634
Param_119,-0.21355231,0.02315304
Param_120,-0.07944885,1.448113
Param_121,0.25259775,-0.78390133
Param_122,-0.30891073,-0.5046025
Param_123,-0.1978664,-0.27775013
Param_124,-0.27854568,-1.0108435
Param_125,-0.2927088,0.61257344
Param_126,-0.3434561,-0.4411405
Param_127,0.1636892,-0.3642944
Param_128,0.051183015,-0.4906534
Param_129,0.32517433,0.38235182
Param_130,0.12280178,-0.33783683
Param_131,0.16596776,0.5801836
Param_132,-0.019105703,0.06156111
Param_133,0.2360372,-0.30083424
Param_134,0.200912,0.6620649
Param_135,-0.35599595,-0.07757175
Param_136,0.084807664,0.28864062
Param_137,0.17043531,1.0498279
Param_138,0.19516456,0.5292362
Param_139,0.23213005,0.666421
Param_140,-0.1924834,0.007872299
Param_141,0.3504892,-0.18853483
Param_142,0.051142752,0.33927757
Param_143,-0.18741998,0.13989812
Param_144,-0.30020538,0.43835738
Param_145,0.0554789,-0.788501
Param_146,-0.35588586,-0.13826247
Param_147,-0.20521769,-0.38186273
Param_148,0.024964988,-0.05101442
Param_149,0.010734409,0.11687275
Param_150,0.316072,0.0743886
Param_151,-0.3198328,0.25014073
Param_152,-0.264496,-1.1389878
Param_153,-0.360902,0.4940984
Param_154,-0.21659009,-0.43756133
Param_155,0.12209386,-0.11921447
Param_156,-0.38544694,-0.2663946
Param_157,0.17049503,0.3559119
Param_158,0.11324191,-0.084605545
Param_159,0.14280671,1.923516
Param_160,-0.11345929,2.2326791
Param_161,0.0037221014,2.1155405
Param_162,-0.14827992,-3.2421331
Param_163,0.08334556,1.8342516
Param_164,0.3215323,2.2008178
Param_165,-0.00033831596,-3.2664857
Param_166,0.048628837,2.1818688
Param_167,0.07841328,1.5856516
Param_168,-0.22611848,0.919458
Param_169,0.3201313,2.7424676
Param_170,0.2650302,2.0286956
Param_171,-0.26598957,2.2437167
Param_172,0.34777063,2.0428665
Param_173,-0.37901387,1.6838293
Param_174,0.040041476,2.08772
Param_175,0.28101087,1.629056
Param_176,-0.36182255,-0.014796515
Param_177,-0.3022025,-0.17491634
Param_178,-0.34928945,0.025600433
Param_179,0.113523126,0.21747291
Param_180,0.00012233853,-0.15216549
Param_181,-0.15399201,-0.13999607
Param_182,-0.37906042,-0.53115153
Param_183,0.044056,-0.47811878
Param_184,0.36629093,0.7110996
Param_185,-0.22951248,-0.11801424
Param_186,0.3405503,0.37763843
Param_187,-0.14260161,-0.15198354
Param_188,-0.17714937,-0.17718047
Param_189,-0.05206725,-0.3038441
Param_190,-0.30651194,-0.8644457
Param_191,-0.262617,-0.79864943
Param_192,0.38669872,0.68651694
Param_193,-0.15569946,0.43474838
Param_194,0.1467709,0.037712723
Param_195,-0.3552682,-0.09847969
Param_196,0.1511041,-0.06429082
Param_197,-0.18247107,-0.06122095
Param_198,-0.040543795,-0.79408294
Param_199,0.051465303,-0.17206383
Param_200,-0.38182828,-0.2689843
Param_201,-0.017802805,-0.31129912
Param_202,0.22679669,0.28051525
Param_203,-0.1093308,0.5628174
Param_204,0.17231345,0.14631356
Param_205,0.05794835,0.4427845
Param_206,-0.25874105,-0.30198696
Param_207,0.3320089,0.97038436
Param_208,-0.37112772,-0.17667317
Param_209,-0.25907183,-0.34665516
Param_210,0.18437576,0.110909045
Param_211,0.20665866,-0.18745406
Param_212,0.14747775,0.046999004
Param_213,0.15267819,-0.051611055
Param_214,0.35695451,-0.7665809
Param_215,0.3421483,-0.51402056
Param_216,0.35456544,0.09735728
Param_217,0.15194488,0.74345046
Param_218,0.097382694,1.5282348
Param_219,-0.21068113,-0.514227
Param_220,0.17799443,-0.019156799
Param_221,-0.06751078,-0.5970716
Param_222,-0.087153435,0.19289835
Param_223,-0.25553983,-0.5841834
Param_224,0.21062523,-0.6497796
Param_225,0.041836172,-0.56882894
Param_226,-0.34407505,-0.13094775
Param_227,-0.2616238,0.009106523
Param_228,0.25606573,0.04921778
Param_229,-0.15971085,-0.016513063
